TYPE,TOTAL,TARIFF_TYPE,S/N,TARIFF NAME,PRICE
Drugs,886.0,SUMMARY,1,,
Others,1.0,SUMMARY,2,,
Imaging,305.0,SUMMARY,3,,
Optical,182.0,SUMMARY,4,,
Immunizations,24.0,SUMMARY,5,,
Procedures,1810.0,SUMMARY,6,,
Laboratory,444.0,SUMMARY,7,,
Dental,42.0,SUMMARY,8,,
,,SUMMARY,9,,
TOTAL,3694.0,SUMMARY,10,,
,,DRUGS,11, AMOXICILLIN CLAVULANIC ACID 1000MG TAB,224.0
,,DRUGS,12, CEFUROXIME 500MG TAB,300.0
,,DRUGS,13,HYDREX 25MG TAB,100.0
,,DRUGS,14,2WAY SILICONE CATHETER,3150.0
,,DRUGS,15,3WAY CATHETER SIZE 16,1050.0
,,DRUGS,16,3WAY CATHETER SIZE 18,1050.0
,,DRUGS,17,3WAY CATHETER SIZE 20,1050.0
,,DRUGS,18,3WAY CATHETER SIZE 22,1050.0
,,DRUGS,19,ACCU CHECK GLUCOMETER MACHINE,8925.0
,,DRUGS,20,ACETAZOLAMIDE 250MG TABLET,130.0
,,DRUGS,21,ACICLOVIR 400MG TAB,429.8489990234375
,,DRUGS,22,ACICLOVIR CREAM (VIREST),5500.0
,,DRUGS,23,ACTIFED TAB,156.0
,,DRUGS,24,ACTIVATED CHARCOAL POWDER,1575.0
,,DRUGS,25,Acyclovir 500mg Injection,13020.0
,,DRUGS,26,ACYCLOVIR EYE OINTMENT,5000.0
,,DRUGS,27,ADENOSINE INJ,11550.0
,,DRUGS,28,ADRENALINE 1MG/1ML INJ,1950.0
,,DRUGS,29,ADRIAMYCIN 50MG (Oncology),3974.4951171875
,,DRUGS,30,ALBENDAZOLE 200 TAB,409.5
,,DRUGS,31,ALBENDAZOLE 400MG TAB ,450.0
,,DRUGS,32,ALBENDAZOLE SUSP              ,1300.0
,,DRUGS,33,ALENDRONIC ACID,1300.0
,,DRUGS,34,ALFACALCIDOL 0.25MG TAB,630.0
,,DRUGS,35,ALLOPURINOL 100MG TAB,156.0
,,DRUGS,36,ALLOPURINOL 300MG TAB,200.0
,,DRUGS,37,AMIKACIN 500MG INJ,2600.0
,,DRUGS,38,AMINOPHYLINE TAB,195.0
,,DRUGS,39,AMINOPHYLLINE 250MG/10ML INJ,2600.0
,,DRUGS,40,AMIODARONE 100MG TAB,168.52499389648438
,,DRUGS,41,AMIODARONE 200MG TAB,165.94200134277344
,,DRUGS,42,AMIODARONE HCL 50MG/ML INJ,2100.0
,,DRUGS,43,AMITRIPTYLINE 25MG TAB,65.0
,,DRUGS,44,AMLODIPINE 10MG TAB,100.0
,,DRUGS,45,AMLODIPINE 5MG TAB            ,63.0
,,DRUGS,46,AMLODIPINE/VALSARTAN 10/160MG TAB,199.5
,,DRUGS,47,AMLODIPINE/VALSARTAN 5/160MG TAB,189.0
,,DRUGS,48,AMODIAQUINE 200MG TAB ,780.0
,,DRUGS,49,AMOXICILLIN 125MG/5ML SUSP,2600.0
,,DRUGS,50,AMOXICILLIN 250MG CAP,80.0
,,DRUGS,51,AMOXICILLIN 500MG CAP,110.0
,,DRUGS,52,AMOXICILLIN CLAVULANIC 1.2G INJ,2600.0
,,DRUGS,53,AMOXICILLIN CLAVULANIC 600MG INJ,2000.0
,,DRUGS,54,AMOXICILLIN CLAVULANIC ACID 228 MLS SUSP,3000.0
,,DRUGS,55,AMOXICILLIN CLAVULANIC ACID 375MG TAB,260.0
,,DRUGS,56,AMOXICILLIN CLAVULANIC ACID 625MG TAB,300.0
,,DRUGS,57,AMOXICILLIN/CLAVULANIC ACID 1.2G INJ,3850.0
,,DRUGS,58,AMOXICILLIN/CLAVULANIC ACID 1.2G INJ.(FLEMING),3850.0
,,DRUGS,59,AMPICILLIN CLOXACILLIN 250MG/250MG CAP,100.0
,,DRUGS,60,AMPICILLIN CLOXACILLIN 250MG/5ML SUSP,2000.0
,,DRUGS,61,AMPICILLIN CLOXACILLIN 250MG/5ML SUSP (BEECHAM),3000.0
,,DRUGS,62,AMPICILLIN CLOXACILLIN 500MG CAP (BEECHAM),122.92088317871094
,,DRUGS,63,AMPICILLIN CLOXACILLIN 500MG INJ,1700.0
,,DRUGS,64,AMPICILLIN CLOXACILLIN 90MG/0.6ML DROP,2600.0
,,DRUGS,65,Anastrozole 1mg (30 s) -oncology,4033.050048828125
,,DRUGS,66,ANC Calcium x 1000 (14 days),25.0
,,DRUGS,67,ANC Calcium x 1000 (7 days),25.0
,,DRUGS,68,ANC Ferrous x 1000 (14 days),25.0
,,DRUGS,69,ANC Ferrous x 1000 (7 days),25.0
,,DRUGS,70,ANC Folic Acid x 1000 (14 days),25.0
,,DRUGS,71,ANC Folic Acid x 1000 (7 days),25.0
,,DRUGS,72,ANKLE BRACE,9450.0
,,DRUGS,73,ANTACID (RULOX SUSPENSION),1500.0
,,DRUGS,74,ANTALLERGE EYE DROP,2000.0
,,DRUGS,75,ANTI RABIES INJ,7000.0
,,DRUGS,76,ANTI- VEGF1,371700.0
,,DRUGS,77,ANUSOL SUPPOSITORY,910.0
,,DRUGS,78,APIDRA INSULIN INJ,3850.0
,,DRUGS,79,APROVASC 300/10,554.4000244140625
,,DRUGS,80,ARISTOBET N EYE DROP [BETAMETHASONE + NEOMYCIN],2500.0
,,DRUGS,81,ARM SLING,6300.0
,,DRUGS,82,ARTEETHER 150MG INJ,1400.0
,,DRUGS,83,ARTEMETHER 80MG INJ,1400.0
,,DRUGS,84,ARTEMETHER LUMEFANTRINE 20/120MG DISPERSIBLE TAB,130.0
,,DRUGS,85,ARTEMETHER LUMEFANTRINE 20/120MG TAB,130.0
,,DRUGS,86,ARTEMETHER LUMEFANTRINE 80/480MG TAB X6,470.0
,,DRUGS,87,ARTESUNATE 120MG INJ,1600.0
,,DRUGS,88,ARTESUNATE 50MG TAB,560.7000122070312
,,DRUGS,89,ARTESUNATE 60MG INJ,1750.0
,,DRUGS,90,ARTHROTEC 75,500.0
,,DRUGS,91,ARTHROTEC GENERIC,400.0
,,DRUGS,92,ASCOBIC ACID,150.0
,,DRUGS,93,ASPIRIN 300MG TAB,35.0
,,DRUGS,94,ASPIRIN 75MG TAB [DISPERSABLE],75.0
,,DRUGS,95,ASTYFER CAP                   ,99.74474334716797
,,DRUGS,96,ASTYFER TONIC,3500.0
,,DRUGS,97,ASTYMIN CAP                   ,133.08749389648438
,,DRUGS,98,ASTYMIN IV,6756.75
,,DRUGS,99,ASTYMIN SYRUP,3003.0
,,DRUGS,100,ATACAND 8MG TAB,520.8748779296875
