S/N,TARIFF NAME,PRICE,TARIFF_TYPE
1, AMOXICILLIN CLAVULANIC ACID 1000MG TAB,224.0,DRUGS
2, CEFUROXIME 500MG TAB,300.0,DRUGS
3,HYDREX 25MG TAB,100.0,DRUGS
4,2WAY SILICONE CATHETER,3150.0,DRUGS
5,3WAY CATHETER SIZE 16,1050.0,DRUGS
6,3WAY CATHETER SIZE 18,1050.0,DRUGS
7,3WAY CATHETER SIZE 20,1050.0,DRUGS
8,3WAY CATHETER SIZE 22,1050.0,DRUGS
9,ACCU CHECK GLUCOMETER MACHINE,8925.0,DRUGS
10,ACETAZOLAMIDE 250MG TABLET,130.0,DRUGS
11,ACICLOVIR 400MG TAB,429.8489990234375,DRUGS
12,ACICLOVIR CREAM (VIREST),5500.0,DRUGS
13,ACTIFED TAB,156.0,DRUGS
14,ACTIVATED CHARCOAL POWDER,1575.0,DRUGS
15,Acyclovir 500mg Injection,13020.0,DRUGS
16,ACYCLOVIR EYE OINTMENT,5000.0,DRUGS
17,ADENOSINE INJ,11550.0,DRUGS
18,ADRENALINE 1MG/1ML INJ,1950.0,DRUGS
19,ADRIAMYCIN 50MG (Oncology),3974.4951171875,DRUGS
20,ALBENDAZOLE 200 TAB,409.5,DRUGS
21,ALBENDAZOLE 400MG TAB ,450.0,DRUGS
22,ALBENDAZOLE SUSP              ,1300.0,DRUGS
23,ALENDRONIC ACID,1300.0,DRUGS
24,ALFACALCIDOL 0.25MG TAB,630.0,DRUGS
25,ALLOPURINOL 100MG TAB,156.0,DRUGS
26,ALLOPURINOL 300MG TAB,200.0,DRUGS
27,AMIKACIN 500MG INJ,2600.0,DRUGS
28,AMINOPHYLINE TAB,195.0,DRUGS
29,AMINOPHYLLINE 250MG/10ML INJ,2600.0,DRUGS
30,AMIODARONE 100MG TAB,168.52499389648438,DRUGS
31,AMIODARONE 200MG TAB,165.94200134277344,DRUGS
32,AMIODARONE HCL 50MG/ML INJ,2100.0,DRUGS
33,AMITRIPTYLINE 25MG TAB,65.0,DRUGS
34,AMLODIPINE 10MG TAB,100.0,DRUGS
35,AMLODIPINE 5MG TAB            ,63.0,DRUGS
36,AMLODIPINE/VALSARTAN 10/160MG TAB,199.5,DRUGS
37,AMLODIPINE/VALSARTAN 5/160MG TAB,189.0,DRUGS
38,AMODIAQUINE 200MG TAB ,780.0,DRUGS
39,AMOXICILLIN 125MG/5ML SUSP,2600.0,DRUGS
40,AMOXICILLIN 250MG CAP,80.0,DRUGS
41,AMOXICILLIN 500MG CAP,110.0,DRUGS
42,AMOXICILLIN CLAVULANIC 1.2G INJ,2600.0,DRUGS
43,AMOXICILLIN CLAVULANIC 600MG INJ,2000.0,DRUGS
44,AMOXICILLIN CLAVULANIC ACID 228 MLS SUSP,3000.0,DRUGS
45,AMOXICILLIN CLAVULANIC ACID 375MG TAB,260.0,DRUGS
46,AMOXICILLIN CLAVULANIC ACID 625MG TAB,300.0,DRUGS
47,AMOXICILLIN/CLAVULANIC ACID 1.2G INJ,3850.0,DRUGS
